"","num","RA","Dec"
"1",1,264.601186328284,-3.29753449255211
"2",2,264.600375076053,-3.37936164281651
"3",3,264.599106323553,-3.19125082563819
"4",4,264.599063133531,-3.25713923012925
"5",5,264.59891843235,-3.39178900078162
"6",6,264.59837935964,-3.22317196687511
"7",7,264.598479890721,-3.28236636649338
"8",8,264.598525226383,-3.31160569298379
"9",9,264.597778119182,-3.39904531908147
"10",10,264.597172192281,-3.25548407272153
"11",11,264.596873283016,-3.26578732298506
"12",12,264.596524145281,-3.1549747006877
"13",13,264.596382576939,-3.2486400939247
"14",14,264.595674092526,-3.09615614949045
"15",15,264.594929742245,-3.10409053494607
"16",16,264.595513170841,-3.33029974410753
"17",17,264.595152483141,-3.3018744589558
"18",18,264.595344971072,-3.4212493520517
"19",19,264.595134081871,-3.39725210599191
"20",20,264.594779716901,-3.27546792837609
"21",21,264.594929477442,-3.37599218617617
"22",22,264.594500105487,-3.30090755575225
"23",23,264.594167106275,-3.22008086923581
"24",24,264.594581473953,-3.39618685306896
"25",25,264.593158049673,-3.20947348952762
"26",26,264.593756601395,-3.43533545811774
"27",27,264.592671843256,-3.11046977385238
"28",28,264.593229180459,-3.33005883709607
"29",29,264.592845831817,-3.21834934890464
"30",30,264.592751133877,-3.23675612283933
"31",31,264.592844089732,-3.32397482759112
"32",32,264.592515243908,-3.21035073179329
"33",33,264.592657957851,-3.32441983926423
"34",34,264.592412774232,-3.27626314438844
"35",35,264.592797656755,-3.43304971094439
"36",36,264.592673354463,-3.40046044754332
"37",37,264.592180377229,-3.2433031025032
"38",38,264.591641453865,-3.11274395374149
"39",39,264.592323558579,-3.38182966877276
"40",40,264.591765201791,-3.2760678989659
"41",41,264.59150835021,-3.21705466577589
"42",42,264.59175421778,-3.34354695922998
"43",43,264.591410458557,-3.26695212995904
"44",44,264.591093938287,-3.23059075452464
"45",45,264.591326733638,-3.35628028582177
"46",46,264.590675653875,-3.13506505817087
"47",47,264.591427868954,-3.42689915732538
"48",48,264.590829016335,-3.43333415676291
"49",49,264.590602925359,-3.37222153586295
"50",50,264.589723995377,-3.16478176330338
"51",51,264.590346570074,-3.39408979068353
"52",52,264.589522606394,-3.11037489612564
"53",53,264.589872700806,-3.26817331818013
"54",54,264.589530153384,-3.2950849697521
"55",55,264.589464351735,-3.333937362196
"56",56,264.589293439816,-3.28750812620902
"57",57,264.588972958898,-3.17430552753753
"58",58,264.588733606973,-3.0892766891263
"59",59,264.588367300312,-3.08430830002608
"60",60,264.589036583379,-3.37937595899371
"61",61,264.588586864607,-3.24091253161655
"62",62,264.588152167397,-3.13765415990002
"63",63,264.588115530104,-3.19398502699764
"64",64,264.588240166638,-3.2471502562981
"65",65,264.587916825717,-3.21969002406125
"66",66,264.58810446238,-3.30606325562599
"67",67,264.587911032065,-3.23693795805065
"68",68,264.587955895609,-3.28842991049409
"69",69,264.58812568745,-3.36107241620652
"70",70,264.587572716546,-3.2184534546819
"71",71,264.587618310862,-3.24606828487904
"72",72,264.587328125619,-3.18881182592325
"73",73,264.587623243443,-3.32332001278951
"74",74,264.587218868385,-3.19435860186887
"75",75,264.587205001706,-3.28133033547704
"76",76,264.587375984884,-3.35291518146346
"77",77,264.586624370403,-3.14233039830634
"78",78,264.587077655335,-3.37472025900851
"79",79,264.586154719257,-3.15211495118061
"80",80,264.586046800283,-3.32417701358488
"81",81,264.586266738338,-3.44377991887315
"82",82,264.586080857936,-3.39345618356612
"83",83,264.585622938949,-3.22853064271313
"84",84,264.585169763229,-3.14881587374123
"85",85,264.585381076797,-3.28265297649513
"86",86,264.585669403682,-3.44314119214123
"87",87,264.585045064753,-3.22217415125243
"88",88,264.585035183619,-3.2592940907881
"89",89,264.584804741232,-3.20920488771746
"90",90,264.584718607195,-3.1856405245718
"91",91,264.584971166647,-3.30532775250746
"92",92,264.584428295922,-3.11419384617627
"93",93,264.584376138396,-3.16519555373293
"94",94,264.584863735628,-3.4203330038145
"95",95,264.584506272489,-3.38235390388163
"96",96,264.583890169242,-3.16830940325045
"97",97,264.584018365869,-3.21594688578122
"98",98,264.584077269588,-3.31198965497778
"99",99,264.584293317924,-3.42436142052366
"100",100,264.5836040846,-3.22424921808998
"101",101,264.58327033159,-3.13241877368338
"102",102,264.583773648726,-3.34853205337234
"103",103,264.582961351368,-3.1185161508531
"104",104,264.583127845694,-3.24244767626396
"105",105,264.583242234716,-3.36157617149229
"106",106,264.582152522936,-3.10741228483922
"107",107,264.5828189401,-3.36462927688108
"108",108,264.582512432717,-3.37024598618205
"109",109,264.582112817771,-3.23375131933887
"110",110,264.58196514922,-3.20199028369225
"111",111,264.581927530665,-3.27942535916897
"112",112,264.582235016005,-3.42851284211124
"113",113,264.582213251592,-3.42306579127059
"114",114,264.582184634809,-3.42046778349602
"115",115,264.58151628206,-3.22676194301165
"116",116,264.581317927037,-3.24495623439323
"117",117,264.581555258631,-3.43148961094304
"118",118,264.581120786749,-3.30731035588483
"119",119,264.581116519069,-3.30832638830152
"120",120,264.580543132467,-3.13128621408534
"121",121,264.581069826264,-3.40252835543733
"122",122,264.580681930867,-3.31382372078786
"123",123,264.580714943999,-3.34856235311619
"124",124,264.580670246595,-3.34108038787281
"125",125,264.579986145126,-3.09449718805828
"126",126,264.579963261763,-3.12555753614871
"127",127,264.579968007363,-3.16680793485976
"128",128,264.580169812518,-3.2857664296165
"129",129,264.579952351832,-3.2403993701261
"130",130,264.579249058293,-3.06554614241162
"131",131,264.579694232194,-3.23021633232585
"132",132,264.579271897345,-3.0932869408583
"133",133,264.580127277783,-3.41402622864184
"134",134,264.579402933292,-3.17902422132774
"135",135,264.579919345784,-3.37905501219345
"136",136,264.579825900733,-3.36494133968473
"137",137,264.579030530005,-3.19759895949008
"138",138,264.579236497545,-3.29365224458906
"139",139,264.578983125807,-3.26984197817199
"140",140,264.579224106543,-3.37428546181649
"141",141,264.578456397878,-3.10324726147801
"142",142,264.578667414856,-3.36158380907324
"143",143,264.578296295919,-3.23220940001601
"144",144,264.57788391288,-3.14865986192245
"145",145,264.577752823321,-3.10350195076024
"146",146,264.577628028628,-3.1201680655774
"147",147,264.577568230291,-3.14711880338073
"148",148,264.578104478666,-3.37299209781667
"149",149,264.577542588208,-3.17924320301708
"150",150,264.577897019315,-3.41215249535575
"151",151,264.577777950095,-3.38487887783339
"152",152,264.576961034269,-3.16165837007912
"153",153,264.576682250281,-3.14200854629848
"154",154,264.576283499528,-3.10239808028339
"155",155,264.576130266293,-3.15149999418249
"156",156,264.576417657274,-3.26348867733633
"157",157,264.57654332973,-3.31873319610218
"158",158,264.576158975546,-3.34329339712364
"159",159,264.575926871714,-3.3292956360061
"160",160,264.576038182054,-3.39120830072782
"161",161,264.575509429139,-3.27789644552181
"162",162,264.574915979204,-3.18175161082884
"163",163,264.574533884135,-3.20126383837235
"164",164,264.574517879471,-3.33815348292351
"165",165,264.574760716642,-3.43831084761292
"166",166,264.574492064692,-3.37706912614952
"167",167,264.574079975927,-3.23057149747934
"168",168,264.573967573689,-3.23018585711379
"169",169,264.573891549372,-3.2975702629733
"170",170,264.573917309886,-3.35642403618714
"171",171,264.573800004455,-3.3626572267295
"172",172,264.573281475048,-3.17207968517756
"173",173,264.573494407014,-3.3557698567242
"174",174,264.572838977964,-3.19927101667794
"175",175,264.573396388216,-3.44448862509489
"176",176,264.57260467838,-3.27015534827398
"177",177,264.572202297758,-3.23615353349627
"178",178,264.571819222846,-3.1508437500105
"179",179,264.571313376282,-3.11967471294337
"180",180,264.571855747435,-3.4299573074664
"181",181,264.570795795027,-3.09144840030821
"182",182,264.570955277235,-3.15203947497001
"183",183,264.571201920387,-3.25941896811602
