# M9 E(B-V)=0.38, m-M = 14.49
# BlueFlag Note: if (V-I)0 > 0.331 + 1.444 * (B-V)0 then BlueFlag = 0
# 	RA		Dec		(B-V)_0	M_u	M_B	M_V	u	B	V	I	BlueFlag
309	17 19 14.115	-18 30 28.46	-0.09	0.42	-0.12	-0.02	16.8932	15.9849	15.7158	15.2696	1
499	17 19 11.253	-18 30 29.94	-0.62	1.37	0.43	1.05	17.8494	16.5799	16.8096	15.1386	0
557	17 19 09.810	-18 31 17.64	-0.07	1.51	0.46	0.53	17.9834	16.5579	16.2652	15.6464	1
576	17 19 34.673	-18 36 27.94	-0.13	1.17	0.52	0.65	17.6435	16.6202	16.3881	15.9996	1
613	17 19 10.900	-18 31 16.75	-0.08	1.19	0.39	0.47	17.6640	16.4916	16.2071	15.7714	1
674	17 19 19.894	-18 26 23.12	-0.11	1.46	0.51	0.63	17.9304	16.6175	16.3655	15.9963	1
710	17 19 10.003	-18 30 40.69	-0.10	1.61	0.63	0.73	18.0830	16.7364	16.4727	15.9321	1
717	17 19 10.646	-18 30 29.99	-0.12	2.02	0.91	1.03	18.4940	17.0132	16.7693	16.0805	0
803	17 19 13.477	-18 31 48.69	-0.07	1.68	0.68	0.75	18.1573	16.7820	16.4912	15.9924	1
892	17 19 13.039	-18 31 40.46	-0.14	1.49	1.12	1.26	17.9610	17.2220	16.9989	16.5595	1
942	17 19 13.608	-18 30 38.05	-0.13	1.60	0.97	1.10	18.0707	17.0787	16.8412	16.4477	1
1005	17 19 17.860	-18 27 02.16	-0.10	1.64	0.71	0.81	18.1099	16.8086	16.5466	16.1448	1
1012	17 19 14.405	-18 32 16.60	-0.22	1.64	1.41	1.63	18.1160	17.5254	17.3746	17.0033	1
1120	17 19 13.292	-18 31 07.48	-0.13	1.42	1.18	1.31	17.8915	17.2840	17.0501	16.3182	0
1217	17 19 08.977	-18 30 49.87	-0.08	83.53	0.68	0.76	99.9999	16.7819	16.5010	15.9759	1
1252	17 19 13.815	-18 31 31.83	-0.10	1.57	0.87	0.97	18.0421	16.9762	16.7097	16.1484	1
1329	17 19 08.822	-18 30 21.60	-0.21	2.04	1.80	2.01	18.5134	17.9123	17.7498	17.1481	0
1331	17 19 09.695	-18 31 08.08	-0.19	1.91	1.50	1.69	18.3892	17.6147	17.4332	16.9639	1
1345	17 19 23.762	-18 29 14.99	-0.18	1.73	1.49	1.67	18.2066	17.5999	17.4093	16.9941	1
1463	17 19 11.244	-18 30 13.27	-0.16	1.92	1.34	1.50	18.3935	17.4510	17.2397	16.8349	1
1472	17 19 10.696	-18 31 14.60	-0.17	1.74	1.39	1.56	18.2100	17.5001	17.3005	17.1537	1
1963	17 19 34.386	-18 33 45.37	-0.36	2.38	2.86	3.23	18.8584	18.9884	18.9741	19.0598	1
2013	17 19 14.542	-18 32 13.78	-0.46	2.38	2.47	2.92	18.8524	18.6001	18.6725	17.6215	0
2225	17 19 13.962	-18 31 12.91	-0.29	2.81	2.06	2.35	19.2846	18.1842	18.0994	17.5030	0
2353	17 19 12.203	-18 30 25.51	-0.37	2.69	2.80	3.17	19.1634	18.9266	18.9141	99.9999	1
