## Cluster   RGC      RSun  DELTAR  [Fe/H]     MV   E(B-V)  M_GC  Delta M  M/L  Delta M/L  Age     Mini    Error   Ltime     Error   chi^2  rlhp    rm    trh    NV  alpha_s   vesc   v0esc   sig0    rmin    rmax      l       b
##  (1)      (3)       (4)   (5)      (6)     (7)    (8)     (9)   (10)   (11)    (12)     (13)    (14)     (15)    (16)      (17)   (18)   (19)   (20)   (21)  (22)  (23)     (24)   (25)    (26)    (27)    (28)     (29)   (30)
 2MS    1     5.22    3.37    0.62   -1.19   -5.98   6.80   4.56   3.86   1.71   0.34    12.00     5.35     4.46     5.21     0.90   0.00   4.19   5.82   8.93     2 -99.00  10.337  32.662    2.78    3.61    5.15   10.47    0.10
 2MS    2     3.22    5.50    0.44   -1.08   -5.10   5.16   4.19   3.49   1.67   0.33    12.00     6.00     5.66     0.42     0.17   0.00   2.22   2.85   8.21     7 -99.00   8.393  17.232    2.20    0.68    3.18    9.78   -0.62
  AM    1   120.34  118.91    3.40   -1.70   -6.11   0.26   4.29   3.59   0.82   0.16    11.00     4.59     2.07   133.27     6.83   0.00  14.79  20.32   9.75     2  -0.44   3.260   6.846    0.91  120.42  127.61  258.36  -48.47
  AM    4    24.45   29.01    0.94   -1.30   -0.97   0.05   2.98   2.28   4.59   0.92     9.00     4.02     3.72     2.13     0.83   0.00   6.46  11.29   8.84    14  -2.11   1.014   2.373    0.28   21.12   52.50  320.28   33.51
 Arp    2    21.12   28.73    0.34   -1.75   -5.95   0.10   4.59   3.81   1.89   0.31    12.40     4.96     2.74    44.18     1.22   3.31  14.21  19.34   9.85    49  -0.57   4.518   8.104    1.31   17.77   51.36    8.55  -20.79
  BH  140     7.13    4.81    0.25    9.99   -6.13   0.60   4.72   3.64   2.18   0.18    12.00     5.49     4.15     5.45     0.37   0.20   6.23   8.64   9.36   614 -99.00   7.999  11.840    2.30    2.01   10.00  303.17   -4.31
  BH  261     2.51    6.12    0.26   -1.30   -3.79   0.36   4.38   3.75   8.48   2.03    12.00     5.64     4.82     1.36     0.23   2.14   2.94   4.45   8.79    27  -1.72   9.074  23.670    2.16    1.45    3.33    3.36   -5.27
 Cra    0   147.00  147.23    4.27   -1.68   -5.10   0.00   4.08   3.38   1.29   0.25     7.00     4.37     2.34   131.61    28.36   4.04  19.56  27.62   9.93    33  -0.97   1.979   4.026    0.62  146.87  244.73  274.81   47.85
Djor    1     1.53    9.88    0.65   -1.51   -6.79   1.58   4.93   4.13   1.89   0.30    12.00     5.77     5.16     4.74     1.62   1.57   4.10   5.62   9.12    41  -0.01  14.781  31.842    3.76    1.19    9.28  356.67   -2.48
Djor    2     0.62    8.76    0.18   -1.11   -6.52   0.81   5.13   4.38   3.85   0.68    12.70     6.22     5.22     2.19     0.27  10.45   4.64   6.48   9.31    53  -0.94  15.439  32.189    3.92    0.74    0.92    2.76   -2.51
   E    3     9.29    7.88    0.25   -0.74   -3.56   0.30   3.41   2.67   1.13   0.21    12.10     4.66     3.35     1.39     0.08   2.48   4.39   5.51   8.37    65   1.00   2.450   4.310    0.64    9.01   12.11  292.27  -19.02
 Eri    0    89.97   84.68    2.89   -1.43   -5.43   0.26   3.97   3.27   0.73   0.15    11.00     4.30     1.98    64.11     2.09   0.00  13.64  18.83   9.57    14  -0.60   2.203   3.575    0.65   89.94  119.36  218.11  -41.33
 ESO  280    13.13   20.95    0.65   -2.48   -4.87   0.16   4.54   4.15   4.51   1.86    12.00     5.53     4.91     2.92     0.73   0.00   7.02   9.20   9.29    18 -99.00   6.821  14.734    1.79    1.55   13.82  346.90  -12.57
 ESO  452     2.29    7.39    0.20   -0.80   -4.01   0.46   3.86   3.48   2.13   0.88    11.00     6.27     5.78     0.09     0.03   0.07   2.48   3.26   8.15    62 -99.00   5.528  11.861    1.42    0.35    2.37  351.91   12.10
 FSR 1716     4.28    7.43    0.27   -1.38   -4.80   1.13   4.74   4.28   7.66   2.67    12.00     5.51     4.00     5.26     0.24   0.66   3.70   5.11   8.96    42 -99.00  11.135  18.972    3.03    2.35    4.90  329.78   -1.59
